T kht kdt
23.52830189 3.004450186 1.60605939
23.74213836 3.01237952 1.607223054
23.95597484 3.020318024 1.608383021
24.16981132 3.028265596 1.609539288
24.3836478 3.036222131 1.610691851
24.59748428 3.044187523 1.611840704
24.81132075 3.052161669 1.612985846
25.02515723 3.060144462 1.614127271
25.23899371 3.068135796 1.615264976
25.45283019 3.076135568 1.616398959
25.66666667 3.084143669 1.617529216
25.88050314 3.092159994 1.618655744
26.09433962 3.100184437 1.619778541
26.3081761 3.10821689 1.620897603
26.52201258 3.116257248 1.622012928
26.73584906 3.124305402 1.623124515
26.94968553 3.132361245 1.624232361
27.16352201 3.14042467 1.625336463
27.37735849 3.148495568 1.626436821
27.59119497 3.156573833 1.627533433
27.80503145 3.164659356 1.628626297
28.01886792 3.172752029 1.629715412
28.2327044 3.180851742 1.630800777
28.44654088 3.188958388 1.631882391
28.66037736 3.197071857 1.632960253
28.87421384 3.205192042 1.634034363
29.08805031 3.213318831 1.635104719
29.30188679 3.221452117 1.636171322
29.51572327 3.22959179 1.637234172
29.72955975 3.23773774 1.638293267
29.94339623 3.245889857 1.63934861
30.1572327 3.254048032 1.640400199
30.37106918 3.262212155 1.641448035
30.58490566 3.270382116 1.642492118
30.79874214 3.278557804 1.64353245
31.01257862 3.28673911 1.644569031
31.22641509 3.294925922 1.645601862
31.44025157 3.303118131 1.646630944
31.65408805 3.311315626 1.647656279
31.86792453 3.319518296 1.648677867
32.08176101 3.327726031 1.649695711
32.29559748 3.335938719 1.650709811
32.50943396 3.344156251 1.65172017
32.72327044 3.352378514 1.65272679
32.93710692 3.360605399 1.653729672
33.1509434 3.368836793 1.654728819
33.36477987 3.377072587 1.655724233
33.57861635 3.385312668 1.656715916
33.79245283 3.393556927 1.657703871
34.00628931 3.40180525 1.658688101
34.22012579 3.410057529 1.659668608
34.43396226 3.41831365 1.660645395
34.64779874 3.426573504 1.661618465
34.86163522 3.434836978 1.662587822
35.0754717 3.443103962 1.663553468
35.28930818 3.451374344 1.664515407
35.50314465 3.459648013 1.665473643
35.71698113 3.467924859 1.666428178
35.93081761 3.476204769 1.667379018
36.14465409 3.484487632 1.668326164
36.35849057 3.492773339 1.669269622
36.57232704 3.501061776 1.670209396
36.78616352 3.509352834 1.671145489
37 3.517646402 1.672077905
