T kht kdt
20.10691824 1.71865707 1.31190608
20.32075472 1.717839305 1.311422181
20.53459119 1.717022896 1.31093952
20.74842767 1.716207839 1.310458093
20.96226415 1.715394133 1.309977895
21.17610063 1.714581774 1.309498923
21.38993711 1.713770759 1.309021172
21.60377358 1.712961088 1.308544639
21.81761006 1.712152756 1.308069319
22.03144654 1.711345761 1.307595208
22.24528302 1.710540101 1.307122302
22.4591195 1.709735773 1.306650597
22.67295597 1.708932775 1.306180088
22.88679245 1.708131103 1.305710773
23.10062893 1.707330757 1.305242647
23.31446541 1.706531732 1.304775705
23.52830189 1.705734027 1.304309945
23.74213836 1.704937639 1.303845362
23.95597484 1.704142565 1.303381952
24.16981132 1.703348803 1.302919711
24.3836478 1.702556352 1.302458635
24.59748428 1.701765206 1.301998721
24.81132075 1.700975366 1.301539964
25.02515723 1.700186828 1.301082362
25.23899371 1.699399589 1.300625909
25.45283019 1.698613648 1.300170602
25.66666667 1.697829001 1.299716437
25.88050314 1.697045646 1.299263411
26.09433962 1.696263582 1.29881152
26.3081761 1.695482804 1.29836076
26.52201258 1.694703312 1.297911127
26.73584906 1.693925102 1.297462617
26.94968553 1.693148173 1.297015227
27.16352201 1.692372521 1.296568954
27.37735849 1.691598144 1.296123792
27.59119497 1.690825041 1.29567974
27.80503145 1.690053208 1.295236793
28.01886792 1.689282643 1.294794947
28.2327044 1.688513344 1.294354199
28.44654088 1.687745308 1.293914545
28.66037736 1.686978533 1.293475982
28.87421384 1.686213017 1.293038506
29.08805031 1.685448757 1.292602114
29.30188679 1.684685751 1.292166801
29.51572327 1.683923997 1.291732565
29.72955975 1.683163492 1.291299402
29.94339623 1.682404234 1.290867308
30.1572327 1.68164622 1.290436281
30.37106918 1.680889448 1.290006315
30.58490566 1.680133917 1.289577409
30.79874214 1.679379623 1.289149558
31.01257862 1.678626564 1.28872276
31.22641509 1.677874738 1.288297011
31.44025157 1.677124143 1.287872306
31.65408805 1.676374777 1.287448643
31.86792453 1.675626636 1.287026019
32.08176101 1.674879719 1.28660443
32.29559748 1.674134024 1.286183873
32.50943396 1.673389548 1.285764344
32.72327044 1.672646288 1.285345841
32.93710692 1.671904244 1.284928359
33.1509434 1.671163412 1.284511896
33.36477987 1.67042379 1.284096449
33.57861635 1.669685376 1.283682012
33.79245283 1.668948168 1.283268585
34.00628931 1.668212163 1.282856164
34.22012579 1.667477359 1.282444744
34.43396226 1.666743754 1.282034324
34.64779874 1.666011346 1.2816249
34.86163522 1.665280132 1.281216467
35.0754717 1.664550111 1.280809025
35.28930818 1.66382128 1.280402569
35.50314465 1.663093637 1.279997096
35.71698113 1.662367179 1.279592602
35.93081761 1.661641905 1.279189086
36.14465409 1.660917812 1.278786543
36.35849057 1.660194898 1.278384971
36.57232704 1.659473161 1.277984367
36.78616352 1.658752599 1.277584727
37 1.658033209 1.277186048
