c F
44.95517833 -0.6677938807
47.14064954 -0.6688040381
49.4426292 -0.6697561854
51.86732842 -0.6706538187
54.42128943 -0.6715002173
57.11140325 -0.6722984566
59.94492823 -0.6730514207
62.92950968 -0.6737618138
66.07320051 -0.6744321714
69.38448289 -0.6750648711
72.87229121 -0.6756621423
76.54603615 -0.6762260756
80.41563006 -0.6767586316
84.49151375 -0.6772616491
88.78468462 -0.6777368532
93.30672633 -0.6781858622
98.06984011 -0.6786101947
103.0868776 -0.679011276
108.3713756 -0.6793904441
113.9375925 -0.6797489553
119.800547 -0.6800879893
125.9760581 -0.6804086543
132.4807885 -0.6807119918
139.332289 -0.6809989804
146.549046 -0.6812705401
154.1505316 -0.6815275361
162.1572557 -0.681770782
170.5908218 -0.6820010435
179.4739852 -0.6822190409
188.8307139 -0.6824254526
198.686254 -0.6826209169
209.0671973 -0.6828060355
220.0015533 -0.6829813748
231.5188248 -0.6831474689
243.6500871 -0.6833048209
256.4280723 -0.6834539053
269.8872577 -0.6835951696
284.0639583 -0.683729036
298.996425 -0.6838559025
314.7249483 -0.6839761451
331.2919661 -0.6840901186
348.742179 -0.6841981578
367.1226705 -0.6843005791
386.4830342 -0.6843976813
406.8755075 -0.6844897468
428.3551126 -0.6845770421
450.9798051 -0.6846598196
474.81063 -0.6847383174
499.9118868 -0.6848127609
526.3513028 -0.6848833633
554.2002158 -0.684950326
583.5337667 -0.6850138397
614.4311024 -0.6850740848
646.9755887 -0.6851312321
681.2550361 -0.6851854429
717.3619362 -0.6852368704
755.3937111 -0.6852856591
795.4529769 -0.6853319462
837.64782 -0.6853758614
882.092089 -0.6854175276
928.9057018 -0.6854570612
978.2149691 -0.6854945725
1030.152935 -0.685530166
1084.859738 -0.6855639405
1142.482984 -0.68559599
1203.178152 -0.6856264031
1267.109005 -0.6856552641
1334.448041 -0.6856826529
1405.376951 -0.685708645
1480.087113 -0.6857333123
1558.780107 -0.6857567226
1641.668259 -0.6857789404
1728.975216 -0.6858000268
1820.936546 -0.6858200398
1917.800374 -0.6858390343
2019.828057 -0.6858570624
2127.294881 -0.6858741735
2240.490809 -0.6858904144
2359.721263 -0.6859058297
2485.307945 -0.6859204614
2617.589709 -0.6859343495
2756.923473 -0.6859475321
2903.685182 -0.685960045
3058.270823 -0.6859719223
3221.097493 -0.6859831966
3392.604525 -0.6859938984
3573.254674 -0.686004057
3763.535363 -0.6860136999
3963.96 -0.6860228535
4175.069364 -0.6860315427
4397.433062 -0.6860397909
4631.651067 -0.6860476208
4878.355339 -0.6860550535
5138.211525 -0.6860621092
5411.920761 -0.6860688072
5700.221558 -0.6860751654
6003.891798 -0.6860812013
6323.750835 -0.6860869312
6660.661699 -0.6860923707
7015.533431 -0.6860975344
7389.323533 -0.6861024364
7783.040552 -0.6861070899
8197.746801 -0.6861115076
8634.561225 -0.6861157014
9094.66242 -0.6861196828
9579.291815 -0.6861234624
10089.75702 -0.6861270505
10627.43535 -0.6861304568
11193.77755 -0.6861336905
11790.31171 -0.6861367605
12418.64737 -0.6861396749
13080.47988 -0.6861424417
13777.59498 -0.6861450684
14511.87359 -0.686147562
15285.29693 -0.6861499293
16099.95181 -0.6861521767
16958.0363 -0.6861543103
17861.86566 -0.6861563359
18813.87856 -0.6861582588
19816.6437 -0.6861600844
20872.86669 -0.6861618176
21985.3974 -0.686163463
23157.23762 -0.6861650251
24391.54916 -0.686166508
25691.6624 -0.6861679159
27061.08525 -0.6861692525
28503.51265 -0.6861705215
30022.8365 -0.6861717262
31623.15617 -0.6861728698
33308.7896 -0.6861739556
35084.2849 -0.6861749865
36954.43264 -0.6861759651
38924.2788 -0.6861768942
40999.13833 -0.6861777762
43184.60954 -0.6861786136
45486.5892 -0.6861794086
47911.28842 -0.6861801634
50465.24943 -0.6861808799
53155.36325 -0.6861815602
55988.88823 -0.6861822061
58973.46968 -0.6861828192
62117.16051 -0.6861834013
65428.44289 -0.686183954
68916.25121 -0.6861844786
72589.99615 -0.6861849767
76459.59006 -0.6861854496
80535.47375 -0.6861858986
84828.64462 -0.6861863248
89350.68633 -0.6861867295
94113.80011 -0.6861871136
99130.8376 -0.6861874784
104415.3356 -0.6861878246
109981.5525 -0.6861881534
115844.507 -0.6861884655
122020.0181 -0.6861887618
128524.7485 -0.6861890431
135376.249 -0.6861893102
142593.006 -0.6861895637
150194.4916 -0.6861898044
158201.2157 -0.6861900329
166634.7818 -0.6861902499
175517.9452 -0.6861904559
184874.6739 -0.6861906514
194730.214 -0.6861908371
205111.1573 -0.6861910134
216045.5133 -0.6861911807
227562.7848 -0.6861913396
239694.0471 -0.6861914904
252472.0323 -0.6861916336
265931.2177 -0.6861917695
280107.9183 -0.6861918986
295040.385 -0.6861920211
310768.9083 -0.6861921375
327335.9261 -0.6861922479
344786.139 -0.6861923528
363166.6305 -0.6861924523
382526.9942 -0.6861925468
402919.4675 -0.6861926365
424399.0726 -0.6861927217
447023.7651 -0.6861928026
470854.59 -0.6861928794
495955.8468 -0.6861929523
522395.2628 -0.6861930215
550244.1758 -0.6861930872
579577.7267 -0.6861931495
610475.0624 -0.6861932088
643019.5487 -0.686193265
677298.9961 -0.6861933184
713405.8962 -0.686193369
751437.6711 -0.6861934171
791496.9369 -0.6861934628
833691.78 -0.6861935062
878136.049 -0.6861935474
924949.6618 -0.6861935864
974258.9291 -0.6861936235
1026196.895 -0.6861936588
1080903.698 -0.6861936922
1138526.944 -0.686193724
1199222.112 -0.6861937541
1263152.965 -0.6861937827
1330492.001 -0.6861938099
1401420.911 -0.6861938357
1476131.073 -0.6861938602
1554824.067 -0.6861938834
1637712.219 -0.6861939055
1725019.176 -0.6861939265
1816980.506 -0.6861939464
1913844.334 -0.6861939653
2015872.017 -0.6861939832
2123338.841 -0.6861940002
2236534.769 -0.6861940164
2355765.223 -0.6861940317
2481351.905 -0.6861940463
2613633.669 -0.6861940601
2752967.433 -0.6861940733
2899729.142 -0.6861940857
3054314.783 -0.6861940976
3217141.453 -0.6861941088
3388648.485 -0.6861941195
3569298.634 -0.6861941296
3759579.323 -0.6861941392
3960003.96 -0.6861941483
