w g
1.216782717 2.826886886
1.289067589 2.840477104
1.365646657 2.853968669
1.446775023 2.86734046
1.532722946 2.880572122
1.623776739 2.893644188
1.720239725 2.90653818
1.822433244 2.919236704
1.930697729 2.93172353
2.045393834 2.943983656
2.166903639 2.95600336
2.295631924 2.967770236
2.432007513 2.979273219
2.576484707 2.99050259
2.729544792 3.001449978
2.891697651 3.012108339
3.063483453 3.022471934
3.245474457 3.032536289
3.438276921 3.042298152
3.642533115 3.051755439
3.858923467 3.060907177
4.088168824 3.069753438
4.331032859 3.078295271
4.58832461 3.086534634
4.860901178 3.094474318
5.149670582 3.102117878
5.455594781 3.109469556
5.779692884 3.116534211
6.12304454 3.123317248
6.486793535 3.129824551
6.872151605 3.136062415
7.280402472 3.142037485
7.712906118 3.147756695
8.171103315 3.153227214
8.656520431 3.158456394
9.170774507 3.16345172
9.715578646 3.168220766
10.29274772 3.172771155
10.90420443 3.177110523
11.55198567 3.181246483
12.23824937 3.185186597
12.96528163 3.188938349
13.73550437 3.192509123
14.5514834 3.195906181
15.41593693 3.199136645
16.33174467 3.202207484
17.30195739 3.205125502
18.32980711 3.207897324
19.41871784 3.210529391
20.57231701 3.213027955
21.79444754 3.215399069
23.08918063 3.217648589
24.46082936 3.21978217
25.91396301 3.221805264
27.45342234 3.223723124
29.08433564 3.225540801
30.81213589 3.227263149
32.6425788 3.228894829
34.58176202 3.230440307
36.63614544 3.231903864
38.81257271 3.233289597
41.11829402 3.234601424
43.56099031 3.235843089
46.14879877 3.237018169
48.89034002 3.238130076
51.79474679 3.239182065
54.87169438 3.240177237
58.13143282 3.241118548
61.58482111 3.242008812
65.2433633 3.242850706
69.11924689 3.243646777
73.22538338 3.244399447
77.5754513 3.245111017
82.18394177 3.245783673
87.06620681 3.246419492
92.23851039 3.247020444
97.71808273 3.247588401
103.5231776 3.248125137
109.6731332 3.248632336
116.1884364 3.249111593
123.0907914 3.249564421
130.4031915 3.249992255
138.1499962 3.250396453
146.3570118 3.250778302
155.051578 3.251139022
164.2626584 3.251479766
174.0209374 3.251801628
184.3589222 3.252105641
195.311051 3.252392786
206.9138081 3.252663989
219.2058451 3.252920126
232.2281096 3.253162027
246.0239821 3.253390476
260.6394198 3.253606216
276.1231104 3.253809948
292.5266337 3.254002336
309.9046339 3.254184007
328.3150013 3.254355555
347.8190651 3.254517539
