w g
1.216782717 2.817139499
1.289067589 2.829487922
1.365646657 2.841585353
1.446775023 2.853393433
1.532722946 2.864872948
1.623776739 2.875983882
1.720239725 2.886685458
1.822433244 2.896936203
1.930697729 2.906694024
2.045393834 2.91591631
2.166903639 2.924560079
2.295631924 2.932582158
2.432007513 2.939939439
2.576484707 2.946589197
2.729544792 2.952489502
2.891697651 2.957599718
3.063483453 2.961881124
3.245474457 2.965297638
3.438276921 2.967816657
3.642533115 2.969410006
3.858923467 2.97005498
4.088168824 2.969735442
4.331032859 2.968442957
4.58832461 2.966177893
4.860901178 2.962950442
5.149670582 2.958781485
5.455594781 2.953703227
5.779692884 2.947759529
6.12304454 2.941005881
6.486793535 2.933508961
6.872151605 2.92534575
7.280402472 2.916602227
7.712906118 2.907371648
8.171103315 2.897752509
8.656520431 2.887846263
9.170774507 2.877754907
9.715578646 2.867578585
10.29274772 2.857413304
10.90420443 2.847348889
11.55198567 2.83746727
12.23824937 2.827841158
12.96528163 2.818533147
13.73550437 2.809595237
14.5514834 2.801068767
15.41593693 2.792984694
16.33174467 2.785364176
17.30195739 2.778219371
18.32980711 2.7715544
19.41871784 2.765366398
20.57231701 2.759646598
21.79444754 2.754381401
23.08918063 2.749553391
24.46082936 2.745142273
25.91396301 2.741125712
27.45342234 2.73748007
29.08433564 2.734181031
30.81213589 2.731204123
32.6425788 2.728525143
34.58176202 2.72612049
36.63614544 2.723967422
38.81257271 2.722044239
41.11829402 2.720330412
43.56099031 2.718806661
46.14879877 2.717454997
48.89034002 2.716258724
51.79474679 2.715202426
54.87169438 2.714271931
58.13143282 2.713454257
61.58482111 2.712737559
65.2433633 2.712111058
69.11924689 2.711564977
73.22538338 2.711090467
77.5754513 2.710679539
82.18394177 2.710324998
87.06620681 2.710020373
92.23851039 2.709759858
97.71808273 2.709538252
103.5231776 2.709350903
109.6731332 2.709193654
116.1884364 2.709062803
123.0907914 2.708955048
130.4031915 2.708867459
138.1499962 2.708797428
146.3570118 2.708742648
155.051578 2.708701071
164.2626584 2.70867089
174.0209374 2.708650506
184.3589222 2.708638511
195.311051 2.708633665
206.9138081 2.708634876
219.2058451 2.708641189
232.2281096 2.708651764
246.0239821 2.708665869
260.6394198 2.708682863
276.1231104 2.70870219
292.5266337 2.708723366
309.9046339 2.708745971
328.3150013 2.708769644
347.8190651 2.708794074
