T kht kdt
21.60377358 2.938914558 1.596634694
21.81761006 2.946743094 1.597822553
22.03144654 2.954577256 1.599005775
22.24528302 2.962416889 1.600184349
22.4591195 2.970261838 1.60135827
22.67295597 2.978111948 1.60252753
22.88679245 2.985967062 1.603692123
23.10062893 2.993827026 1.60485204
23.31446541 3.001691682 1.606007278
23.52830189 3.009560875 1.607157828
23.74213836 3.017434447 1.608303685
23.95597484 3.025312241 1.609444845
24.16981132 3.033194099 1.6105813
24.3836478 3.041079865 1.611713047
24.59748428 3.048969379 1.612840079
24.81132075 3.056862483 1.613962394
25.02515723 3.064759019 1.615079985
25.23899371 3.072658829 1.61619285
25.45283019 3.080561752 1.617300984
25.66666667 3.08846763 1.618404383
25.88050314 3.096376303 1.619503043
26.09433962 3.104287611 1.620596963
26.3081761 3.112201395 1.621686138
26.52201258 3.120117495 1.622770566
26.73584906 3.12803575 1.623850244
26.94968553 3.135956 1.62492517
27.16352201 3.143878084 1.625995341
27.37735849 3.151801842 1.627060757
27.59119497 3.159727113 1.628121414
27.80503145 3.167653736 1.629177312
28.01886792 3.175581549 1.63022845
28.2327044 3.183510392 1.631274825
28.44654088 3.191440103 1.632316439
28.66037736 3.199370522 1.633353289
28.87421384 3.207301486 1.634385375
29.08805031 3.215232833 1.635412698
29.30188679 3.223164404 1.636435256
29.51572327 3.231096035 1.637453051
29.72955975 3.239027566 1.638466083
29.94339623 3.246958834 1.639474352
30.1572327 3.254889678 1.640477859
30.37106918 3.262819937 1.641476605
30.58490566 3.270749448 1.64247059
30.79874214 3.27867805 1.643459818
31.01257862 3.286605582 1.644444288
31.22641509 3.294531881 1.645424003
31.44025157 3.302456787 1.646398965
31.65408805 3.310380138 1.647369175
31.86792453 3.318301772 1.648334636
32.08176101 3.326221528 1.64929535
32.29559748 3.334139244 1.65025132
32.50943396 3.342054761 1.651202549
32.72327044 3.349967916 1.65214904
32.93710692 3.357878548 1.653090795
33.1509434 3.365786498 1.654027819
33.36477987 3.373691604 1.654960114
33.57861635 3.381593705 1.655887685
33.79245283 3.389492642 1.656810534
34.00628931 3.397388253 1.657728666
34.22012579 3.40528038 1.658642086
34.43396226 3.413168862 1.659550796
34.64779874 3.421053539 1.660454803
34.86163522 3.428934253 1.66135411
35.0754717 3.436810843 1.662248722
35.28930818 3.444683151 1.663138644
35.50314465 3.452551018 1.664023881
35.71698113 3.460414286 1.664904439
35.93081761 3.468272796 1.665780322
36.14465409 3.47612639 1.666651536
36.35849057 3.48397491 1.667518086
36.57232704 3.491818199 1.66837998
36.78616352 3.4996561 1.669237221
37 3.507488455 1.670089817
