system,step,T_C,T_K,isotope_pair,quantity,replicate,value,source_DOI,PMCID,source_table,license,rate_class
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,5,10.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,6,14.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,7,14.5,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,8,13.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,9,12.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,10,11.7,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,11,12.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,12,13.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,13,12.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,14,11.1,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
